2025-03-11T12:33:24.272+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21.0.2 with PID 19960 (X:\SEP\Einzelphase\sepr-individual-assignment-Wendys-Family-Tree-java-template\Wendys-Family-Tree\backend\target\classes started by Inferno in X:\SEP\Einzelphase\sepr-individual-assignment-Wendys-Family-Tree-java-template\Wendys-Family-Tree\backend)
2025-03-11T12:33:24.280+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2025-03-11T12:33:26.649+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-03-11T12:33:26.668+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-03-11T12:33:26.669+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-11T12:33:26.725+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-03-11T12:33:26.726+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2401 ms
2025-03-11T12:33:27.265+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-03-11T12:33:27.583+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn1: url=jdbc:h2:./wendydb user=SA
2025-03-11T12:33:27.584+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-03-11T12:33:27.591+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:./wendydb'
2025-03-11T12:33:27.636+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-03-11T12:33:27.643+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [main] .a.i.SeprIndividualAssignmentApplication : Started SeprIndividualAssignmentApplication in 3.791 seconds (process running for 6.077)
2025-03-11T12:33:45.390+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-11T12:33:45.390+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-03-11T12:33:45.391+01:00 r= ip=  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2025-03-11T12:33:45.395+01:00 r=1ef89a6ccfbf ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 OPR/116.0.0.0
2025-03-11T12:33:45.431+01:00 r=1ef89a6ccfbf ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-1] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2025-03-11T12:33:45.494+01:00 r=1ef89a6ccfbf ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=98ms
2025-03-11T12:34:44.011+01:00 r=7fc85a9dbabe ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/6 UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 OPR/116.0.0.0
2025-03-11T12:34:44.014+01:00 r=7fc85a9dbabe ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-2] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/6
2025-03-11T12:34:44.023+01:00 r=7fc85a9dbabe ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/6 status=200 time=11ms
2025-03-11T12:34:59.385+01:00 r=7937ee8876be ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : >>> OPTIONS /horses/6 UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 OPR/116.0.0.0
2025-03-11T12:34:59.387+01:00 r=7937ee8876be ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : <<< OPTIONS /horses/6 status=200 time=2ms
2025-03-11T12:34:59.392+01:00 r=28bbd9278682 ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> PUT /horses/6 UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 OPR/116.0.0.0
2025-03-11T12:34:59.422+01:00 r=28bbd9278682 ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-4] a.a.t.s.a.individual.rest.HorseEndpoint  : PUT /horses
2025-03-11T12:34:59.430+01:00 r=28bbd9278682 ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< PUT /horses/6 status=200 time=38ms
2025-03-11T12:34:59.464+01:00 r=6640f8274a10 ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 OPR/116.0.0.0
2025-03-11T12:34:59.467+01:00 r=6640f8274a10 ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-5] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2025-03-11T12:34:59.470+01:00 r=6640f8274a10 ip=0:0:0:0:0:0:0:1  INFO 19960 --- [wendys-family-tree] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=4ms
